"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18, 2003","88.240","88.290","88.640","88.230","1.76K","-0.07%"
"Dec 17, 2003","88.300","88.810","88.930","88.180","1.55K","-0.50%"
"Dec 16, 2003","88.740","88.840","88.920","88.550","0.63K","0.26%"
"Dec 15, 2003","88.510","88.890","88.890","88.450","0.02K","0.06%"
"Dec 12, 2003","88.460","88.840","88.950","88.430","0.62K","-0.48%"
"Dec 11, 2003","88.890","89.010","89.550","88.900","1.35K","0.01%"
"Dec 10, 2003","88.880","88.540","89.270","88.610","2.85K","0.27%"
"Dec 09, 2003","88.640","88.740","89.000","88.490","5.36K","-0.12%"
"Dec 08, 2003","88.750","89.080","89.230","88.690","5.19K","-0.49%"
"Dec 05, 2003","89.190","89.800","89.800","89.100","4.15K","-0.49%"
"Dec 04, 2003","89.630","89.480","90.080","89.250","1.63K","0.07%"
"Dec 03, 2003","89.570","89.610","89.730","89.400","0.79K","-0.11%"
"Dec 02, 2003","89.670","90.390","90.600","89.650","1.30K","-0.84%"
"Dec 01, 2003","90.430","90.150","90.590","89.930","1.73K","0.17%"
"Nov 28, 2003","90.280","90.600","90.630","90.130","1.48K","-0.49%"
"Nov 26, 2003","90.720","91.540","91.540","90.500","1.64K","-0.93%"
"Nov 25, 2003","91.570","91.540","91.820","91.400","0.83K","-0.17%"
"Nov 24, 2003","91.730","90.680","91.780","90.700","2.23K","1.08%"
"Nov 21, 2003","90.750","90.780","91.030","90.570","5.85K","0.03%"
"Nov 20, 2003","90.720","90.880","90.930","90.400","1.71K","-0.31%"
"Nov 19, 2003","91.000","90.380","91.060","90.370","2.57K","0.65%"
"Nov 18, 2003","90.410","91.820","91.820","90.400","4.46K","-1.37%"
"Nov 17, 2003","91.670","91.140","91.950","91.080","4.42K","0.08%"
"Nov 14, 2003","91.600","91.650","91.800","91.330","2.45K","-0.15%"
"Nov 13, 2003","91.740","92.280","92.380","91.650","1.37K","-0.74%"
"Nov 12, 2003","92.420","93.170","93.180","92.160","4.77K","-0.90%"
"Nov 11, 2003","93.260","93.330","93.350","93.220","0.09K","0.10%"
"Nov 10, 2003","93.170","93.320","93.450","92.920","1.23K","-0.03%"
"Nov 07, 2003","93.200","94.140","94.320","93.150","2.47K","-0.96%"
"Nov 06, 2003","94.100","93.860","94.230","93.750","4.17K","0.30%"
"Nov 05, 2003","93.820","93.540","94.040","93.480","0.95K","0.40%"
"Nov 04, 2003","93.450","93.870","93.990","93.310","1.89K","-0.45%"
"Nov 03, 2003","93.870","92.860","94.100","92.680","4.20K","1.07%"
"Oct 31, 2003","92.880","92.460","92.990","92.400","3.28K","0.45%"
"Oct 30, 2003","92.460","92.100","92.540","91.520","3.17K","0.37%"
"Oct 29, 2003","92.120","92.190","92.190","91.750","0.86K","0.02%"
"Oct 28, 2003","92.100","91.850","92.350","91.810","2.62K","0.27%"
"Oct 27, 2003","91.850","91.610","91.950","91.540","1.13K","0.37%"
"Oct 24, 2003","91.510","91.520","91.780","91.230","1.08K","-0.19%"
"Oct 23, 2003","91.680","91.480","91.900","91.350","1.70K","0.16%"
"Oct 22, 2003","91.530","92.480","92.550","91.380","4.68K","-1.20%"
"Oct 21, 2003","92.640","92.760","92.940","92.350","0.48K","-0.10%"
"Oct 20, 2003","92.730","92.270","92.990","92.220","1.33K","0.14%"
"Oct 17, 2003","92.600","92.910","93.330","92.540","1.47K","-0.32%"
"Oct 16, 2003","92.900","92.860","93.180","92.270","2.10K","0.19%"
"Oct 15, 2003","92.720","92.090","93.090","92.090","1.22K","0.62%"
"Oct 14, 2003","92.150","92.340","93.060","91.930","2.34K","-0.02%"
"Oct 13, 2003","92.170","92.310","92.600","92.090","0.10K","0.41%"
"Oct 10, 2003","91.790","92.290","92.490","91.550","1.00K","-0.58%"
"Oct 09, 2003","92.330","91.910","92.680","91.630","1.96K","0.32%"
"Oct 08, 2003","92.040","92.200","92.210","91.840","0.91K","-0.15%"
"Oct 07, 2003","92.180","92.630","92.710","91.900","1.28K","-0.67%"
"Oct 06, 2003","92.800","93.510","93.610","92.530","1.27K","-0.78%"
"Oct 03, 2003","93.530","92.750","93.620","92.640","2.46K","0.86%"
