Date,Open,High,Low,Close,Adj Close,Volume
07-02-2018,661.849976,668.650024,657.679993,657.76001,657.76001,771100
08-02-2018,656.280029,663.690002,647.859985,647.900024,647.900024,906400
09-02-2018,649.559998,666,647.809998,661.030029,661.030029,887900
12-02-2018,661.549988,670.539978,657.409973,666.97998,666.97998,691100
13-02-2018,665.440002,672.460022,659.900024,670.080017,670.080017,654900
14-02-2018,667.070007,668.650024,660.099976,662.25,662.25,625800
15-02-2018,662.390015,675.73999,662.320007,675.719971,675.719971,655200
16-02-2018,675.390015,683.080017,673.080017,681.119995,681.119995,608200
20-02-2018,679.710022,681.119995,670.01001,673.210022,673.210022,666800
21-02-2018,673.070007,678.609985,664.599976,664.820007,664.820007,773000
22-02-2018,666.280029,673.280029,664.409973,668.200012,668.200012,588300
23-02-2018,668.940002,686.400024,668.789978,685.76001,685.76001,490800
26-02-2018,687.590027,689.77002,682.130005,683.72998,683.72998,631600
27-02-2018,684.429993,687.75,671.98999,672.02002,672.02002,786400
28-02-2018,673.48999,677.090027,668.619995,668.809998,668.809998,738400
01-03-2018,669.47998,678.890015,665.26001,668.75,668.75,737100
02-03-2018,668.47998,674.73999,660.070007,665.849976,665.849976,670500
05-03-2018,665.140015,679.599976,663.309998,677.909973,677.909973,702300
06-03-2018,677.22998,677.309998,668.280029,669.679993,669.679993,607900
07-03-2018,668.859985,670.27002,662.039978,664.799988,664.799988,631700
08-03-2018,665.469971,671.159973,665.090027,669.880005,669.880005,496200
09-03-2018,670.109985,672.369995,666.080017,672.280029,672.280029,601300
12-03-2018,672.570007,676.02002,671.710022,675.340027,675.340027,644800
13-03-2018,677.48999,681.190002,671.25,677.619995,677.619995,688100
14-03-2018,680.299988,687.25,679.47998,684.719971,684.719971,704800
15-03-2018,684.849976,691.059998,680.340027,684.22998,684.22998,732800
16-03-2018,684.030029,692.669983,683.909973,691.820007,691.820007,1274400
19-03-2018,691.669983,692.76001,682.119995,686.309998,686.309998,617300
20-03-2018,686.289978,689.299988,681.119995,682.940002,682.940002,675100
21-03-2018,683.119995,688.690002,677.73999,679.559998,679.559998,580100
22-03-2018,679.640015,693.840027,678.859985,683.150024,683.150024,739100
23-03-2018,684.559998,690.080017,672.380005,673.679993,673.679993,558400
26-03-2018,675.76001,681.140015,674.549988,680.169983,680.169983,583200
27-03-2018,680.849976,696.799988,678.570007,689.72998,689.72998,613000
